	TCGA-91-6828-01A	TCGA-86-6562-01A	TCGA-55-8094-01A	TCGA-67-3771-01A	TCGA-49-AARN-01A
ENSG00000000003.15	1472	3136	3719	1053	1779
ENSG00000000005.6	0	0	0	1	0
ENSG00000000419.13	545	1460	2174	1817	911
ENSG00000000457.14	558	950	677	598	565
ENSG00000000460.17	168	531	386	339	204
ENSG00000000938.13	702	586	117	902	263
ENSG00000000971.16	1190	10430	3957	1073	2052
ENSG00000001036.14	892	1272	4806	1633	931
ENSG00000001084.13	308	1555	1711	13025	1644
ENSG00000001167.14	1370	2156	1747	1359	1415
ENSG00000001460.18	136	498	520	257	391
ENSG00000001461.17	764	3386	927	1488	1471
ENSG00000001497.18	957	1566	3347	1006	1612
ENSG00000001561.7	2139	1709	2281	5027	943
ENSG00000001617.12	615	1255	544	1071	725
ENSG00000001626.16	1364	247	1742	247	558
ENSG00000001629.10	2250	3686	2245	1868	1511
ENSG00000001630.17	101	243	125	87	34
ENSG00000001631.16	103	300	301	158	204
ENSG00000002016.18	257	300	690	125	205
ENSG00000002079.14	2	33	36	10	12
ENSG00000002330.14	112	336	391	277	315
ENSG00000002549.12	3735	3993	5375	3918	3543
ENSG00000002586.20	2981	7379	5267	3635	3530
ENSG00000002586.20_PAR_Y	0	0	0	0	0
ENSG00000002587.10	745	1709	358	1263	1411
ENSG00000002726.21	1480	15	11860	929	792
ENSG00000002745.13	3	13	13	586	11
ENSG00000002746.15	17	50	2	311	29
ENSG00000002822.15	12	32	39	12	12
ENSG00000002834.18	8608	13027	19976	7713	7851
ENSG00000002919.15	551	1144	1492	921	805
ENSG00000002933.9	3738	1490	2870	1393	3456
ENSG00000003056.8	1640	3493	1251	2200	1266
ENSG00000003096.14	23	175	30	66	23
ENSG00000003137.8	165	113	4	222	174
ENSG00000003147.19	1121	2550	2906	1823	1113
ENSG00000003249.15	612	1458	1517	1079	1470
ENSG00000003393.15	993	1254	1356	2378	718
ENSG00000003400.15	1074	1950	459	2014	2096
ENSG00000003402.20	4504	5840	2790	5772	5482
ENSG00000003436.16	10101	2672	28061	984	6515
ENSG00000003509.16	327	399	774	640	390
ENSG00000003756.17	2192	1416	1559	2106	2140
ENSG00000003987.14	6438	51	930	39	16
ENSG00000003989.18	10204	284	52106	1255	371
ENSG00000004059.11	1588	5056	3839	1853	2579
ENSG00000004139.14	187	225	254	241	137
ENSG00000004142.12	2523	5131	8253	3659	3454
ENSG00000004399.13	8254	6024	3714	6277	11211
ENSG00000004455.17	2644	3641	6709	6933	6985
ENSG00000004468.13	482	225	56	1732	192
ENSG00000004478.8	1336	3334	9448	1269	2077
ENSG00000004487.17	1854	3023	5510	2191	2127
ENSG00000004534.15	2424	1393	2066	2552	2661
ENSG00000004660.15	174	728	499	479	237
ENSG00000004700.16	707	972	3095	527	251
ENSG00000004766.17	637	1804	798	915	583
ENSG00000004776.13	28	83	69	40	41
ENSG00000004777.18	192	124	307	413	379
ENSG00000004779.10	798	1236	2363	1187	1330
ENSG00000004799.8	3608	1441	26610	747	492
ENSG00000004809.14	7	5	1	3	16
ENSG00000004838.14	12	121	38	91	337
ENSG00000004846.16	5	8	1	3	4
ENSG00000004848.8	18	162	56	3	308
ENSG00000004864.14	1052	2601	3418	1350	710
ENSG00000004866.22	737	1435	1418	875	768
ENSG00000004897.12	1714	2220	2608	2355	1434
ENSG00000004939.15	23	1	7	8	4
